age,charge,race,sex,#prior,stay,class,predicted
25-45,F,Afr-Am,Male,>3,<week,1,1
25-45,M,Cauc,Female,0,<week,0,0
<25,F,Cauc,Male,0,<week,1,0
<25,F,Afr-Am,Male,0,1w-3M,1,0
25-45,F,Afr-Am,Male,>3,<week,1,1
25-45,M,Afr-Am,Male,"[1,3]",<week,0,0
25-45,F,Cauc,Male,>3,<week,1,0
<25,M,Afr-Am,Male,"[1,3]",<week,1,1
<25,M,Other,Female,"[1,3]",<week,0,0
25-45,M,Afr-Am,Male,0,<week,0,0
<25,F,Cauc,Male,0,<week,0,0
25-45,F,Afr-Am,Female,"[1,3]",<week,0,0
<25,M,Afr-Am,Male,0,<week,1,0
<25,F,Afr-Am,Male,"[1,3]",<week,1,1
25-45,F,Afr-Am,Male,>3,<week,1,0
25-45,F,Hispanic,Male,>3,>3Months,1,1
<25,F,Hispanic,Female,"[1,3]",<week,0,0
25-45,M,Afr-Am,Male,>3,<week,0,0
25-45,M,Afr-Am,Female,0,<week,0,1
>45,M,Cauc,Female,>3,>3Months,1,0
25-45,F,Afr-Am,Male,"[1,3]",>3Months,0,0
>45,F,Hispanic,Male,0,<week,0,0
25-45,F,Afr-Am,Male,"[1,3]",1w-3M,0,0
25-45,F,Afr-Am,Male,0,<week,0,0
25-45,F,Cauc,Female,>3,<week,1,0
>45,F,Afr-Am,Male,0,<week,1,0
<25,F,Afr-Am,Male,>3,<week,0,0
<25,F,Afr-Am,Male,"[1,3]",<week,1,1
25-45,M,Cauc,Male,0,<week,1,0
<25,F,Cauc,Male,"[1,3]",<week,0,0
>45,F,Cauc,Female,"[1,3]",1w-3M,0,0
25-45,F,Afr-Am,Male,>3,1w-3M,1,1
25-45,F,Afr-Am,Male,0,<week,1,0
>45,F,Afr-Am,Male,>3,<week,1,0
>45,M,Cauc,Male,"[1,3]",1w-3M,0,0
25-45,F,Afr-Am,Male,>3,>3Months,1,1
<25,F,Afr-Am,Male,>3,<week,1,0
>45,F,Cauc,Male,0,<week,1,0
25-45,M,Afr-Am,Male,"[1,3]",<week,0,0
25-45,M,Cauc,Female,0,<week,0,0
25-45,M,Afr-Am,Male,"[1,3]",<week,0,0
<25,M,Afr-Am,Male,0,<week,1,0
>45,M,Cauc,Female,"[1,3]",<week,0,0
<25,F,Cauc,Male,>3,<week,1,0
>45,M,Afr-Am,Male,"[1,3]",<week,0,0
25-45,M,Afr-Am,Male,>3,<week,1,1
>45,M,Afr-Am,Male,"[1,3]",1w-3M,0,0
25-45,F,Cauc,Male,0,<week,0,0
25-45,M,Hispanic,Female,0,<week,0,0
25-45,F,Other,Male,0,<week,1,0
25-45,M,Afr-Am,Male,"[1,3]",1w-3M,1,0
<25,F,Afr-Am,Male,>3,<week,1,0
25-45,M,Hispanic,Male,0,<week,0,0
<25,F,Afr-Am,Female,0,<week,0,0
25-45,F,Afr-Am,Male,>3,<week,0,0
<25,F,Afr-Am,Male,0,<week,1,0
25-45,M,Afr-Am,Male,"[1,3]",1w-3M,0,0
25-45,F,Afr-Am,Male,"[1,3]",<week,0,0
>45,M,Cauc,Male,"[1,3]",<week,0,0
25-45,F,Afr-Am,Male,>3,<week,1,0
<25,F,Afr-Am,Male,>3,1w-3M,1,1
25-45,M,Cauc,Male,"[1,3]",<week,0,0
25-45,F,Cauc,Male,>3,<week,0,0
25-45,F,Afr-Am,Male,"[1,3]",<week,0,0
25-45,F,Hispanic,Female,"[1,3]",<week,0,0
25-45,F,Cauc,Male,0,<week,0,0
25-45,F,Afr-Am,Male,"[1,3]",<week,0,0
25-45,F,Afr-Am,Male,"[1,3]",<week,1,1
<25,F,Afr-Am,Male,0,<week,0,0
25-45,F,Cauc,Male,>3,1w-3M,1,1
25-45,M,Afr-Am,Male,0,<week,0,0
25-45,F,Other,Male,"[1,3]",<week,0,0
25-45,F,Afr-Am,Male,>3,1w-3M,1,1
<25,F,Cauc,Male,"[1,3]",1w-3M,1,0
25-45,F,Afr-Am,Male,0,<week,0,0
>45,F,Afr-Am,Male,0,<week,0,0
25-45,F,Afr-Am,Male,>3,<week,1,0
25-45,F,Afr-Am,Male,>3,<week,1,1
<25,F,Afr-Am,Female,"[1,3]",1w-3M,0,0
>45,M,Cauc,Male,"[1,3]",<week,0,0
>45,F,Cauc,Male,>3,>3Months,0,0
25-45,M,Afr-Am,Female,0,<week,0,0
<25,M,Cauc,Female,0,<week,0,0
25-45,F,Afr-Am,Female,>3,<week,0,0
25-45,F,Hispanic,Male,"[1,3]",<week,0,0
25-45,M,Afr-Am,Male,>3,<week,1,0
25-45,F,Afr-Am,Male,"[1,3]",<week,0,0
>45,F,Hispanic,Male,0,<week,0,0
>45,F,Cauc,Male,"[1,3]",<week,1,0
25-45,F,Cauc,Male,0,<week,1,0
>45,M,Afr-Am,Male,>3,<week,0,0
>45,M,Cauc,Male,"[1,3]",<week,0,0
25-45,F,Other,Male,"[1,3]",<week,1,0
<25,F,Hispanic,Male,"[1,3]",<week,1,0
25-45,F,Afr-Am,Male,>3,<week,1,0
25-45,F,Afr-Am,Male,>3,>3Months,1,1
25-45,M,Cauc,Female,0,<week,0,0
25-45,M,Cauc,Female,"[1,3]",>3Months,0,0
25-45,F,Afr-Am,Female,"[1,3]",<week,0,0
25-45,M,Cauc,Male,0,<week,0,0
25-45,M,Afr-Am,Male,0,<week,0,0
25-45,F,Cauc,Male,>3,<week,0,0
25-45,F,Afr-Am,Male,0,<week,0,0
25-45,F,Afr-Am,Male,"[1,3]",<week,0,0
25-45,F,Afr-Am,Male,>3,<week,1,1
25-45,F,Asian,Male,"[1,3]",1w-3M,0,0
25-45,F,Cauc,Male,"[1,3]",<week,0,0
25-45,F,Afr-Am,Male,0,<week,0,0
25-45,F,Afr-Am,Male,>3,>3Months,0,1
25-45,F,Cauc,Female,0,<week,0,0
25-45,F,Cauc,Male,0,<week,0,0
>45,F,Cauc,Male,0,<week,0,0
25-45,F,Cauc,Male,>3,>3Months,0,0
25-45,F,Afr-Am,Male,>3,<week,1,1
25-45,F,Afr-Am,Male,>3,1w-3M,1,0
25-45,M,Cauc,Male,>3,1w-3M,1,0
>45,F,Cauc,Female,0,<week,0,0
<25,F,Afr-Am,Female,>3,<week,1,1
25-45,F,Cauc,Male,"[1,3]",<week,1,0
25-45,M,Afr-Am,Female,"[1,3]",1w-3M,0,0
<25,F,Other,Male,0,<week,0,0
<25,M,Afr-Am,Female,0,<week,1,0
25-45,M,Afr-Am,Male,0,<week,0,0
25-45,M,Afr-Am,Female,0,<week,0,0
>45,F,Cauc,Male,>3,<week,1,0
25-45,F,Hispanic,Male,>3,<week,0,0
25-45,F,Afr-Am,Male,>3,<week,1,1
25-45,F,Hispanic,Female,"[1,3]",<week,0,0
<25,M,Cauc,Female,0,<week,0,0
25-45,F,Cauc,Male,>3,1w-3M,0,0
25-45,F,Cauc,Male,0,<week,1,0
25-45,M,Afr-Am,Male,"[1,3]",<week,0,0
25-45,M,Afr-Am,Male,0,<week,0,0
25-45,F,Afr-Am,Female,>3,<week,0,0
25-45,F,Cauc,Female,0,<week,1,0
25-45,M,Cauc,Female,0,<week,1,0
25-45,M,Afr-Am,Male,>3,<week,1,1
25-45,M,Cauc,Female,"[1,3]",<week,0,0
25-45,F,Cauc,Male,"[1,3]",1w-3M,0,0
25-45,F,Cauc,Male,>3,<week,1,1
>45,F,Cauc,Male,"[1,3]",<week,1,0
>45,F,Other,Male,0,<week,1,0
25-45,F,Cauc,Male,"[1,3]",<week,0,0
25-45,F,Cauc,Male,"[1,3]",>3Months,0,0
25-45,M,Hispanic,Male,0,<week,1,0
<25,F,Afr-Am,Male,>3,>3Months,1,1
<25,F,Cauc,Male,"[1,3]",<week,0,0
>45,M,Cauc,Male,>3,1w-3M,1,0
25-45,F,Afr-Am,Female,>3,<week,0,0
25-45,F,Afr-Am,Female,>3,1w-3M,1,0
25-45,M,Cauc,Male,>3,<week,1,0
25-45,F,Cauc,Male,"[1,3]",<week,0,0
25-45,F,Afr-Am,Male,"[1,3]",>3Months,0,0
25-45,M,Afr-Am,Male,>3,1w-3M,1,0
<25,F,Afr-Am,Male,"[1,3]",1w-3M,0,0
25-45,M,Asian,Male,0,<week,0,0
>45,M,Hispanic,Male,"[1,3]",<week,0,0
25-45,M,Afr-Am,Male,>3,1w-3M,1,0
25-45,M,Cauc,Male,"[1,3]",<week,0,0
25-45,F,Afr-Am,Male,>3,1w-3M,0,1
25-45,F,Cauc,Male,>3,1w-3M,1,1
<25,F,Cauc,Male,"[1,3]",1w-3M,0,0
>45,M,Cauc,Female,0,<week,0,0
25-45,M,Cauc,Male,>3,<week,1,0
25-45,M,Hispanic,Female,0,<week,0,0
25-45,M,Afr-Am,Male,"[1,3]",<week,0,0
25-45,F,Cauc,Female,"[1,3]",<week,1,0
<25,M,Cauc,Male,"[1,3]",<week,0,0
>45,F,Asian,Male,0,<week,0,0
25-45,M,Cauc,Female,0,<week,0,0
25-45,F,Cauc,Female,0,<week,1,0
25-45,F,Cauc,Female,"[1,3]",<week,0,0
25-45,F,Afr-Am,Male,0,1w-3M,0,0
25-45,F,Hispanic,Male,"[1,3]",<week,0,0
<25,F,Afr-Am,Male,"[1,3]",>3Months,1,0
25-45,M,Cauc,Female,>3,<week,1,0
25-45,M,Afr-Am,Female,>3,<week,0,1
>45,F,Afr-Am,Female,"[1,3]",<week,0,0
<25,F,Hispanic,Male,"[1,3]",<week,0,1
<25,F,Hispanic,Female,"[1,3]",<week,0,0
25-45,F,Hispanic,Male,"[1,3]",<week,0,0
25-45,F,Afr-Am,Male,0,1w-3M,1,0
25-45,M,Afr-Am,Female,0,<week,0,0
25-45,F,Cauc,Male,0,<week,0,0
25-45,M,Afr-Am,Male,"[1,3]",<week,0,0
25-45,F,Other,Female,0,1w-3M,0,0
<25,M,Afr-Am,Male,"[1,3]",1w-3M,1,1
<25,F,Afr-Am,Male,>3,<week,1,1
25-45,F,Hispanic,Male,>3,>3Months,1,1
25-45,F,Hispanic,Male,>3,<week,0,0
>45,F,Cauc,Male,"[1,3]",1w-3M,0,0
<25,F,Afr-Am,Male,"[1,3]",<week,1,0
>45,M,Hispanic,Male,0,<week,0,0
<25,F,Afr-Am,Male,"[1,3]",<week,1,0
25-45,M,Afr-Am,Male,"[1,3]",<week,0,0
25-45,M,Cauc,Female,0,<week,0,0
25-45,F,Afr-Am,Male,0,<week,1,0
>45,F,Cauc,Male,"[1,3]",1w-3M,0,0
25-45,M,Afr-Am,Male,>3,1w-3M,1,0
25-45,F,Hispanic,Male,>3,<week,1,0
<25,M,Other,Male,0,<week,0,0
>45,M,Other,Male,"[1,3]",<week,1,0
25-45,F,Afr-Am,Female,"[1,3]",<week,1,0
25-45,F,Afr-Am,Male,>3,1w-3M,0,0
>45,F,Cauc,Male,>3,<week,1,0
25-45,M,Other,Male,"[1,3]",<week,0,0
25-45,M,Cauc,Male,0,<week,0,0
<25,F,Afr-Am,Male,"[1,3]",<week,0,0
25-45,F,Afr-Am,Female,0,<week,1,0
25-45,M,Afr-Am,Male,0,<week,0,1
25-45,F,Hispanic,Male,>3,1w-3M,1,0
25-45,F,Hispanic,Female,0,<week,0,0
>45,F,Cauc,Female,0,<week,0,0
25-45,M,Hispanic,Female,"[1,3]",<week,0,0
<25,F,Cauc,Male,>3,<week,0,1
>45,M,Afr-Am,Male,0,<week,0,0
<25,F,Afr-Am,Male,0,<week,1,0
25-45,F,Afr-Am,Male,>3,1w-3M,1,1
25-45,F,Afr-Am,Male,>3,<week,0,0
>45,F,Cauc,Female,"[1,3]",<week,0,0
<25,F,Afr-Am,Male,0,<week,0,0
25-45,F,Afr-Am,Male,0,<week,1,1
<25,M,Afr-Am,Male,"[1,3]",1w-3M,1,1
25-45,M,Cauc,Male,0,<week,0,0
<25,F,Afr-Am,Male,"[1,3]",<week,1,1
25-45,F,Other,Female,>3,<week,1,0
25-45,F,Cauc,Male,"[1,3]",<week,0,0
25-45,F,Afr-Am,Male,0,<week,0,0
25-45,M,Afr-Am,Male,0,<week,0,0
25-45,F,Afr-Am,Male,0,<week,0,0
25-45,F,Afr-Am,Female,>3,1w-3M,1,1
<25,M,Other,Male,0,<week,0,0
>45,M,Cauc,Male,0,<week,0,0
<25,F,Cauc,Male,"[1,3]",1w-3M,1,1
25-45,M,Afr-Am,Male,>3,<week,0,0
>45,M,Cauc,Male,0,<week,0,0
25-45,F,Afr-Am,Male,0,1w-3M,1,0
<25,F,Afr-Am,Male,"[1,3]",1w-3M,1,0
25-45,F,Cauc,Female,"[1,3]",<week,1,0
25-45,F,Afr-Am,Female,>3,<week,1,0
25-45,M,Cauc,Male,"[1,3]",<week,1,0
>45,F,Cauc,Male,0,<week,0,0
25-45,F,Afr-Am,Male,"[1,3]",<week,1,0
25-45,F,Afr-Am,Male,0,<week,0,0
<25,M,Afr-Am,Male,"[1,3]",<week,1,0
25-45,F,Hispanic,Male,"[1,3]",<week,1,0
25-45,F,Cauc,Male,>3,1w-3M,1,1
25-45,M,Afr-Am,Male,0,<week,0,0
>45,M,Afr-Am,Female,0,1w-3M,0,0
25-45,M,Afr-Am,Female,"[1,3]",<week,0,0
>45,F,Other,Male,0,<week,0,0
<25,F,Cauc,Male,"[1,3]",1w-3M,1,0
<25,M,Cauc,Male,"[1,3]",<week,1,0
25-45,F,Afr-Am,Male,0,<week,0,0
<25,F,Afr-Am,Male,0,<week,0,0
25-45,M,Other,Male,0,<week,0,0
25-45,M,Afr-Am,Female,"[1,3]",<week,0,0
>45,M,Cauc,Male,0,<week,0,0
25-45,F,Other,Male,>3,>3Months,1,1
25-45,F,Afr-Am,Male,"[1,3]",1w-3M,1,0
<25,F,Native American,Male,"[1,3]",<week,1,1
25-45,M,Cauc,Male,0,<week,0,0
25-45,M,Afr-Am,Male,>3,<week,1,0
>45,M,Hispanic,Male,"[1,3]",<week,0,0
<25,F,Afr-Am,Male,"[1,3]",<week,1,0
>45,M,Cauc,Male,0,<week,1,0
25-45,F,Afr-Am,Male,"[1,3]",<week,0,0
25-45,M,Afr-Am,Female,"[1,3]",1w-3M,1,0
<25,F,Afr-Am,Male,"[1,3]",<week,0,1
25-45,F,Cauc,Female,0,<week,0,0
>45,M,Cauc,Female,0,<week,0,0
25-45,M,Hispanic,Male,0,1w-3M,0,0
<25,F,Afr-Am,Male,"[1,3]",<week,0,0
<25,M,Afr-Am,Male,"[1,3]",<week,1,0
25-45,F,Cauc,Male,>3,1w-3M,1,1
>45,F,Cauc,Male,>3,<week,0,1
<25,F,Afr-Am,Male,"[1,3]",<week,0,0
>45,F,Afr-Am,Male,"[1,3]",1w-3M,0,0
25-45,F,Cauc,Female,0,<week,1,0
<25,F,Afr-Am,Male,0,<week,1,1
<25,F,Afr-Am,Male,0,<week,0,0
25-45,M,Cauc,Female,"[1,3]",<week,0,0
>45,F,Other,Male,0,<week,0,0
25-45,F,Afr-Am,Male,"[1,3]",1w-3M,0,0
>45,M,Cauc,Male,"[1,3]",<week,0,0
>45,F,Cauc,Male,"[1,3]",<week,0,0
<25,F,Hispanic,Male,"[1,3]",1w-3M,1,1
25-45,M,Afr-Am,Male,>3,<week,0,1
25-45,M,Cauc,Male,>3,<week,1,0
25-45,F,Afr-Am,Male,>3,<week,1,0
>45,M,Cauc,Male,"[1,3]",<week,0,0
25-45,M,Afr-Am,Male,"[1,3]",<week,0,0
<25,F,Hispanic,Male,0,<week,0,0
25-45,F,Afr-Am,Male,>3,1w-3M,1,0
25-45,M,Afr-Am,Male,0,<week,0,0
<25,F,Other,Male,"[1,3]",<week,0,0
25-45,M,Afr-Am,Male,"[1,3]",<week,1,0
25-45,F,Afr-Am,Female,"[1,3]",<week,0,0
<25,F,Afr-Am,Male,0,1w-3M,0,0
25-45,F,Afr-Am,Male,"[1,3]",<week,0,0
25-45,M,Cauc,Male,0,<week,0,0
>45,F,Cauc,Male,0,<week,0,0
25-45,F,Cauc,Male,>3,<week,1,0
<25,F,Afr-Am,Male,"[1,3]",<week,1,0
>45,F,Cauc,Male,0,1w-3M,0,0
25-45,M,Cauc,Male,"[1,3]",<week,0,0
25-45,M,Hispanic,Female,0,1w-3M,0,0
25-45,M,Afr-Am,Male,0,<week,0,0
25-45,M,Afr-Am,Male,>3,<week,1,0
<25,M,Hispanic,Female,0,<week,1,0
>45,F,Afr-Am,Male,>3,<week,1,0
<25,F,Cauc,Male,>3,<week,1,0
25-45,M,Cauc,Male,"[1,3]",<week,0,0
<25,F,Afr-Am,Male,"[1,3]",<week,1,1
25-45,M,Cauc,Female,0,<week,0,0
25-45,F,Afr-Am,Male,>3,<week,1,1
>45,F,Cauc,Male,>3,<week,0,0
25-45,M,Afr-Am,Male,>3,1w-3M,1,0
25-45,F,Afr-Am,Male,"[1,3]",<week,0,0
25-45,F,Hispanic,Female,0,<week,0,0
25-45,M,Afr-Am,Female,"[1,3]",<week,1,0
<25,F,Cauc,Male,>3,1w-3M,0,0
<25,F,Hispanic,Male,0,1w-3M,1,0
25-45,F,Cauc,Male,"[1,3]",<week,1,0
<25,F,Other,Male,0,<week,0,0
25-45,F,Cauc,Male,"[1,3]",<week,0,0
25-45,F,Afr-Am,Male,>3,1w-3M,1,1
>45,M,Cauc,Male,"[1,3]",<week,1,0
25-45,M,Cauc,Male,"[1,3]",1w-3M,0,0
25-45,F,Other,Male,0,<week,1,0
>45,F,Cauc,Male,"[1,3]",<week,1,0
<25,F,Afr-Am,Male,"[1,3]",1w-3M,0,1
<25,F,Afr-Am,Male,"[1,3]",1w-3M,1,1
25-45,F,Afr-Am,Male,>3,1w-3M,0,0
<25,F,Afr-Am,Male,>3,<week,1,0
<25,M,Afr-Am,Male,"[1,3]",<week,1,0
25-45,F,Cauc,Female,"[1,3]",<week,1,0
>45,F,Afr-Am,Male,"[1,3]",<week,1,1
25-45,F,Cauc,Male,>3,<week,1,0
>45,F,Cauc,Male,>3,>3Months,1,0
>45,M,Hispanic,Male,"[1,3]",<week,0,0
25-45,F,Afr-Am,Male,>3,<week,1,0
<25,F,Afr-Am,Male,"[1,3]",<week,0,0
>45,M,Cauc,Male,"[1,3]",<week,1,0
25-45,M,Afr-Am,Male,"[1,3]",1w-3M,0,0
25-45,M,Other,Male,0,<week,0,0
25-45,F,Afr-Am,Male,"[1,3]",1w-3M,0,0
<25,M,Other,Male,0,<week,0,0
25-45,F,Cauc,Female,0,<week,0,0
25-45,F,Afr-Am,Male,>3,<week,0,0
<25,F,Cauc,Male,0,<week,0,0
25-45,F,Afr-Am,Male,0,1w-3M,1,0
<25,M,Afr-Am,Male,"[1,3]",<week,1,0
<25,M,Afr-Am,Female,0,<week,0,0
25-45,F,Other,Male,0,<week,1,1
25-45,F,Cauc,Male,0,<week,0,0
<25,F,Cauc,Male,"[1,3]",<week,1,1
<25,F,Cauc,Male,"[1,3]",1w-3M,1,0
<25,F,Cauc,Male,>3,1w-3M,1,0
25-45,F,Afr-Am,Male,>3,<week,1,1
25-45,F,Other,Female,0,<week,1,0
>45,F,Cauc,Male,"[1,3]",1w-3M,1,0
25-45,M,Afr-Am,Male,>3,<week,0,1
25-45,M,Afr-Am,Male,>3,1w-3M,1,1
25-45,F,Afr-Am,Male,0,<week,0,1
<25,F,Afr-Am,Male,0,<week,0,0
25-45,F,Afr-Am,Male,0,<week,0,0
25-45,F,Other,Male,"[1,3]",<week,1,0
>45,F,Cauc,Male,"[1,3]",<week,0,0
25-45,M,Hispanic,Male,0,<week,1,0
<25,F,Afr-Am,Male,0,<week,0,0
<25,F,Cauc,Male,"[1,3]",<week,0,1
<25,F,Cauc,Female,0,<week,1,1
25-45,M,Hispanic,Male,"[1,3]",<week,1,0
25-45,F,Cauc,Male,"[1,3]",<week,1,0
25-45,M,Afr-Am,Female,"[1,3]",<week,1,0
<25,F,Afr-Am,Male,"[1,3]",1w-3M,0,0
>45,M,Hispanic,Female,0,<week,1,0
25-45,F,Afr-Am,Female,>3,<week,1,0
25-45,M,Cauc,Female,0,<week,0,0
>45,F,Afr-Am,Male,>3,<week,1,0
25-45,M,Afr-Am,Male,>3,<week,0,1
<25,F,Hispanic,Male,>3,<week,1,1
>45,F,Cauc,Male,>3,<week,0,0
>45,F,Afr-Am,Male,"[1,3]",1w-3M,1,1
25-45,M,Afr-Am,Female,"[1,3]",<week,0,0
25-45,F,Cauc,Male,0,<week,1,0
25-45,F,Other,Male,"[1,3]",<week,1,0
<25,F,Afr-Am,Male,"[1,3]",<week,1,0
25-45,M,Afr-Am,Male,"[1,3]",<week,0,0
25-45,F,Afr-Am,Male,>3,1w-3M,1,1
25-45,F,Afr-Am,Male,"[1,3]",<week,1,0
<25,F,Hispanic,Male,>3,<week,1,0
>45,F,Cauc,Male,>3,<week,0,0
<25,F,Afr-Am,Male,0,<week,0,0
<25,M,Cauc,Male,0,<week,0,0
>45,M,Cauc,Male,0,<week,0,0
25-45,M,Afr-Am,Male,>3,<week,0,0
25-45,M,Cauc,Male,0,<week,0,0
<25,F,Cauc,Male,"[1,3]",<week,1,0
25-45,F,Cauc,Male,0,<week,0,0
25-45,M,Afr-Am,Male,>3,<week,1,1
25-45,F,Cauc,Male,"[1,3]",<week,1,0
25-45,F,Cauc,Male,"[1,3]",<week,0,0
<25,M,Afr-Am,Male,0,1w-3M,0,1
<25,M,Cauc,Female,0,<week,0,0
25-45,F,Cauc,Male,"[1,3]",<week,0,0
25-45,F,Cauc,Male,"[1,3]",<week,1,0
>45,F,Cauc,Male,"[1,3]",<week,0,0
25-45,F,Afr-Am,Female,0,<week,0,0
<25,F,Afr-Am,Male,"[1,3]",<week,1,0
25-45,F,Afr-Am,Male,"[1,3]",<week,1,0
25-45,F,Cauc,Male,"[1,3]",<week,0,0
25-45,F,Cauc,Male,0,<week,0,0
25-45,F,Cauc,Male,"[1,3]",<week,0,0
<25,F,Afr-Am,Male,"[1,3]",<week,1,0
25-45,M,Afr-Am,Male,"[1,3]",<week,0,0
>45,M,Cauc,Female,0,<week,0,0
25-45,F,Afr-Am,Male,"[1,3]",<week,1,0
>45,F,Afr-Am,Male,>3,<week,0,0
25-45,M,Other,Male,0,1w-3M,0,0
25-45,F,Cauc,Male,>3,<week,0,0
25-45,F,Afr-Am,Male,"[1,3]",<week,0,0
25-45,F,Cauc,Male,0,<week,1,0
25-45,F,Cauc,Male,>3,1w-3M,1,1
25-45,F,Afr-Am,Male,0,<week,0,0
>45,M,Cauc,Male,0,<week,0,0
25-45,F,Cauc,Male,0,1w-3M,1,1
>45,F,Cauc,Female,>3,>3Months,0,0
25-45,F,Afr-Am,Male,"[1,3]",1w-3M,1,0
25-45,F,Afr-Am,Male,"[1,3]",<week,0,1
>45,F,Hispanic,Male,0,<week,0,0
25-45,F,Afr-Am,Female,0,<week,0,0
25-45,M,Cauc,Female,0,<week,0,0
25-45,F,Cauc,Male,"[1,3]",<week,1,0
25-45,M,Afr-Am,Female,0,<week,0,0
25-45,M,Afr-Am,Male,"[1,3]",<week,0,0
<25,F,Cauc,Male,>3,<week,1,0
25-45,F,Afr-Am,Male,0,1w-3M,0,0
>45,M,Cauc,Male,0,<week,0,0
25-45,M,Afr-Am,Female,0,<week,0,0
25-45,M,Cauc,Female,0,<week,0,0
25-45,M,Cauc,Female,>3,<week,0,0
<25,F,Afr-Am,Female,0,<week,0,0
25-45,F,Cauc,Male,>3,<week,1,0
25-45,F,Cauc,Male,0,<week,0,0
>45,F,Afr-Am,Male,"[1,3]",<week,0,0
<25,F,Afr-Am,Male,>3,1w-3M,1,0
25-45,F,Afr-Am,Male,>3,>3Months,0,1
25-45,F,Afr-Am,Male,>3,<week,1,0
25-45,F,Hispanic,Male,"[1,3]",<week,0,0
25-45,F,Afr-Am,Female,>3,<week,1,1
>45,M,Afr-Am,Male,"[1,3]",<week,0,1
25-45,M,Hispanic,Male,"[1,3]",<week,0,0
25-45,F,Other,Male,"[1,3]",<week,1,0
25-45,M,Afr-Am,Male,0,<week,0,1
<25,M,Afr-Am,Male,0,<week,1,0
>45,F,Afr-Am,Male,>3,1w-3M,1,1
>45,F,Cauc,Female,"[1,3]",<week,1,0
>45,F,Other,Male,0,<week,0,0
25-45,F,Afr-Am,Male,>3,<week,1,0
>45,M,Afr-Am,Male,"[1,3]",1w-3M,0,0
<25,F,Afr-Am,Male,"[1,3]",>3Months,1,1
<25,M,Cauc,Male,>3,<week,1,1
25-45,F,Cauc,Female,"[1,3]",<week,1,0
>45,F,Hispanic,Male,"[1,3]",1w-3M,1,1
25-45,M,Cauc,Male,"[1,3]",<week,1,0
<25,F,Afr-Am,Male,"[1,3]",<week,1,1
25-45,F,Hispanic,Female,0,<week,0,0
<25,F,Afr-Am,Male,0,<week,0,0
>45,F,Afr-Am,Male,>3,<week,1,0
25-45,F,Afr-Am,Male,>3,<week,0,0
25-45,F,Cauc,Male,"[1,3]",<week,0,0
25-45,M,Afr-Am,Female,0,<week,1,0
25-45,F,Cauc,Male,"[1,3]",<week,1,0
25-45,M,Afr-Am,Male,>3,<week,0,1
>45,F,Afr-Am,Male,>3,<week,1,0
25-45,M,Afr-Am,Female,0,<week,0,0
<25,F,Cauc,Male,"[1,3]",<week,0,0
25-45,F,Cauc,Male,>3,<week,0,0
>45,F,Afr-Am,Male,>3,<week,0,0
<25,F,Cauc,Male,>3,<week,0,1
25-45,F,Cauc,Male,"[1,3]",1w-3M,1,0
<25,M,Cauc,Male,0,<week,0,0
25-45,M,Afr-Am,Male,>3,<week,0,0
25-45,F,Afr-Am,Male,>3,<week,1,0
>45,M,Afr-Am,Male,>3,<week,0,1
>45,F,Native American,Male,>3,<week,1,1
>45,M,Other,Female,0,<week,0,0
25-45,M,Afr-Am,Male,"[1,3]",<week,0,0
>45,F,Afr-Am,Male,>3,1w-3M,1,0
<25,F,Afr-Am,Male,"[1,3]",1w-3M,0,1
25-45,F,Afr-Am,Female,>3,<week,1,0
25-45,F,Other,Male,0,<week,0,0
>45,F,Hispanic,Male,0,<week,0,0
25-45,F,Cauc,Female,"[1,3]",<week,1,1
25-45,F,Cauc,Male,>3,<week,0,0
25-45,M,Cauc,Male,"[1,3]",<week,0,0
>45,F,Other,Male,>3,<week,1,0
25-45,F,Afr-Am,Male,>3,1w-3M,1,0
25-45,F,Cauc,Male,"[1,3]",<week,0,0
>45,F,Cauc,Male,0,<week,0,0
>45,M,Cauc,Male,"[1,3]",<week,0,0
25-45,F,Cauc,Female,"[1,3]",1w-3M,1,0
25-45,F,Cauc,Male,>3,<week,0,1
25-45,F,Other,Male,0,<week,1,0
<25,M,Afr-Am,Male,"[1,3]",<week,1,0
25-45,M,Hispanic,Male,"[1,3]",<week,1,0
<25,M,Cauc,Male,"[1,3]",<week,0,0
25-45,F,Afr-Am,Male,>3,<week,1,1
25-45,M,Afr-Am,Male,"[1,3]",1w-3M,1,0
25-45,F,Afr-Am,Female,>3,1w-3M,1,1
25-45,F,Afr-Am,Male,>3,<week,0,0
25-45,M,Afr-Am,Female,"[1,3]",<week,0,0
25-45,F,Afr-Am,Male,>3,<week,1,1
25-45,M,Cauc,Male,"[1,3]",<week,1,0
>45,F,Cauc,Male,>3,>3Months,0,0
25-45,F,Afr-Am,Male,"[1,3]",<week,0,0
>45,F,Afr-Am,Male,0,<week,1,0
25-45,F,Afr-Am,Male,"[1,3]",<week,0,0
>45,F,Cauc,Female,0,<week,0,0
>45,M,Cauc,Male,>3,<week,0,0
<25,F,Hispanic,Male,"[1,3]",1w-3M,1,0
25-45,M,Afr-Am,Female,0,<week,0,0
<25,F,Cauc,Male,"[1,3]",1w-3M,0,0
25-45,F,Afr-Am,Male,>3,<week,1,0
<25,F,Hispanic,Male,"[1,3]",1w-3M,0,1
25-45,F,Afr-Am,Male,"[1,3]",<week,1,0
<25,F,Afr-Am,Male,0,<week,0,0
25-45,M,Afr-Am,Male,>3,<week,1,1
